ABS_FUNCTION,ABSFNC
AMOUNT_OF_SUBSTANCE_UNIT,AOSU
AND_EXPRESSION,ANDEXP
ANGULAR_DIMENSION,ANGDMN
ANGULAR_LOCATION,ANGLCT
ANGULAR_SIZE,ANGSZ
ANGULARITY_TOLERANCE,ANGTLR
ANNOTATION_CURVE_OCCURRENCE,ANCROC
ANNOTATION_FILL_AREA,ANFLAR
ANNOTATION_FILL_AREA_OCCURRENCE,AFAO
ANNOTATION_OCCURRENCE,ANNOCC
ANNOTATION_OCCURRENCE_ASSOCIATIVITY,ANOCAS
ANNOTATION_OCCURRENCE_RELATIONSHIP,ANOCRL
ANNOTATION_PLACEHOLDER_OCCURRENCE,ANPLOC
ANNOTATION_PLANE,ANNPLN
ANNOTATION_POINT_OCCURRENCE,ANPNOC
ANNOTATION_SUBFIGURE_OCCURRENCE,ANSBOC
ANNOTATION_SYMBOL,ANNSYM
ANNOTATION_SYMBOL_OCCURRENCE,ANSYOC
ANNOTATION_TEXT,ANNTXT
ANNOTATION_TEXT_OCCURRENCE,ANTXOC
APEX,APEX
APPLICATION_CONTEXT,APPCNT
APPLICATION_CONTEXT_ELEMENT,APCNEL
APPLICATION_DEFINED_FUNCTION,APDFFN
APPLICATION_PROTOCOL_DEFINITION,APPRDF
APPLIED_ACTION_ASSIGNMENT,APACAS
APPLIED_ACTION_METHOD_ASSIGNMENT,AAMA
APPLIED_ACTION_REQUEST_ASSIGNMENT,AARA
APPLIED_APPROVAL_ASSIGNMENT,APAPAS
APPLIED_AREA,APPAR
APPLIED_ATTRIBUTE_CLASSIFICATION_ASSIGNMENT,AACA
APPLIED_CERTIFICATION_ASSIGNMENT,APCRAS
APPLIED_CLASSIFICATION_ASSIGNMENT,APCLAS
APPLIED_CLASSIFICATION_ASSIGNMENT_RELATIONSHIP,ACA1
APPLIED_CONTRACT_ASSIGNMENT,APCNAS
APPLIED_DATE_AND_TIME_ASSIGNMENT,ADATA
APPLIED_DATE_ASSIGNMENT,APDTAS
APPLIED_DIRECTED_ACTION_ASSIGNMENT,ADAA
APPLIED_DOCUMENT_REFERENCE,APDCRF
APPLIED_DOCUMENT_USAGE_CONSTRAINT_ASSIGNMENT,ADUCA
APPLIED_EFFECTIVITY_ASSIGNMENT,APEFAS
APPLIED_EVENT_OCCURRENCE_ASSIGNMENT,AEOA
APPLIED_EXTERNAL_IDENTIFICATION_ASSIGNMENT,AEIA
APPLIED_EXTERNAL_IDENTIFICATION_ASSIGNMENT_RELATIONSHIP,AEIAR
APPLIED_GROUP_ASSIGNMENT,APGRAS
APPLIED_IDENTIFICATION_ASSIGNMENT,APIDAS
APPLIED_INEFFECTIVITY_ASSIGNMENT,APINAS
APPLIED_NAME_ASSIGNMENT,APNMAS
APPLIED_ORGANIZATION_ASSIGNMENT,APORAS
APPLIED_ORGANIZATIONAL_PROJECT_ASSIGNMENT,AOPA
APPLIED_PERSON_AND_ORGANIZATION_ASSIGNMENT,APAOA
APPLIED_PRESENTED_ITEM,APPRIT
APPLIED_SECURITY_CLASSIFICATION_ASSIGNMENT,ASCA
APPLIED_TIME_INTERVAL_ASSIGNMENT,ATIA
APPLIED_USAGE_RIGHT,APUSRG
APPROVAL,APPRVL
APPROVAL_ASSIGNMENT,APPASS
APPROVAL_DATE_TIME,APDTTM
APPROVAL_PERSON_ORGANIZATION,APPROR
APPROVAL_RELATIONSHIP,APPRLT
APPROVAL_ROLE,APPRL
APPROVAL_STATUS,APPSTT
AREA_IN_SET,ARINST
AREA_MEASURE_WITH_UNIT,AMWU
AREA_UNIT,ARUNT
ASIN_FUNCTION,ASNFNC
ASSEMBLY_COMPONENT_USAGE,ASCMUS
ASSEMBLY_COMPONENT_USAGE_SUBSTITUTE,ACUS
ASSIGNED_REQUIREMENT,ASSRQR
ATAN_FUNCTION,ATNFNC
ATOM_BASED_LITERAL,ATBSLT
ATTRIBUTE_CLASSIFICATION_ASSIGNMENT,ATCLAS
ATTRIBUTE_LANGUAGE_ASSIGNMENT,ATLNAS
ATTRIBUTE_VALUE_ASSIGNMENT,ATVLAS
ATTRIBUTE_VALUE_ROLE,ATVLRL
AXIS1_PLACEMENT,AX1PLC
AXIS2_PLACEMENT_2D,A2PL2D
AXIS2_PLACEMENT_3D,A2PL3D
B_SPLINE_BASIS,BSPBS
B_SPLINE_CURVE,BSPCR
B_SPLINE_CURVE_WITH_KNOTS,BSCWK
B_SPLINE_FUNCTION,BSPFN
B_SPLINE_SURFACE,BSPSR
B_SPLINE_SURFACE_WITH_KNOTS,BSSWK
B_SPLINE_VOLUME,BSPVL
B_SPLINE_VOLUME_WITH_KNOTS,BSVWK
BACK_BORING_OPERATION,BCBROP
BACKGROUND_COLOUR,BCKCLR
BANDED_MATRIX,BNDMTR
BASIC_ROUND_HOLE,BSRNHL
BASIC_ROUND_HOLE_OCCURRENCE,BRHO
BASIC_ROUND_HOLE_OCCURRENCE_IN_ASSEMBLY,BRHOIA
BASIC_SPARSE_MATRIX,BSSPMT
BETWEEN_SHAPE_ASPECT,BTSHAS
BEZIER_CURVE,BZRCRV
BEZIER_SURFACE,BZRSRF
BEZIER_VOLUME,BZRVLM
BINARY_BOOLEAN_EXPRESSION,BNBLEX
BINARY_FUNCTION_CALL,BNFNCL
BINARY_GENERIC_EXPRESSION,BNGNEX
BINARY_LITERAL,BNRLTR
BINARY_NUMERIC_EXPRESSION,BNNMEX
BLOCK,BLOCK
BLOCK_SHAPE_REPRESENTATION,BLSHRP
BLOCK_VOLUME,BLCVLM
BOOLEAN_DEFINED_FUNCTION,BLDFFN
BOOLEAN_EXPRESSION,BLNEXP
BOOLEAN_LITERAL,BLNLTR
BOOLEAN_REPRESENTATION_ITEM,BLRPIT
BOOLEAN_RESULT,BLNRSL
BOOLEAN_VARIABLE,BLNVRB
BORING_OPERATION,BRNOPR
BOSS,BOSS
BOSS_TOP,BSSTP
BOTTOM_AND_SIDE_MILLING_OPERATION,BASMO
BOUND_VARIABLE_SEMANTICS,BNVRSM
BOUNDARY_CURVE,BNDCR
BOUNDED_CURVE,BNDCRV
BOUNDED_PCURVE,BNDPCR
BOUNDED_SURFACE,BNDSRF
BOUNDED_SURFACE_CURVE,BNSRCR
BOX_DOMAIN,BXDMN
BOXED_HALF_SPACE,BXHLSP
BREAKDOWN_CONTEXT,BRKCNT
BREAKDOWN_ELEMENT_GROUP_ASSIGNMENT,BEGA
BREAKDOWN_ELEMENT_REALIZATION,BRELRL
BREAKDOWN_ELEMENT_USAGE,BRELUS
BREAKDOWN_OF,BRKOF
BREP_WITH_VOIDS,BRWTVD
CALENDAR_DATE,CLNDT
CAMERA_IMAGE,CMRIMG
CAMERA_IMAGE_3D_WITH_SCALE,CI3WS
CAMERA_MODEL,CMRMDL
CAMERA_MODEL_D3,CMMDD3
CAMERA_MODEL_D3_MULTI_CLIPPING,CMDMC
CAMERA_MODEL_D3_MULTI_CLIPPING_INTERSECTION,CMDMCI
CAMERA_MODEL_D3_MULTI_CLIPPING_UNION,CMDMCU
CAMERA_MODEL_D3_WITH_HLHSR,CMDWH
CAMERA_MODEL_WITH_LIGHT_SOURCES,CMWLS
CAMERA_USAGE,CMRUSG
CAPACITANCE_MEASURE_WITH_UNIT,CMWU
CAPACITANCE_UNIT,CPCUNT
CARTESIAN_COMPLEX_NUMBER_REGION,CCNR
CARTESIAN_POINT,CRTPNT
CARTESIAN_TRANSFORMATION_OPERATOR,CRTROP
CARTESIAN_TRANSFORMATION_OPERATOR_2D,CTO2
CARTESIAN_TRANSFORMATION_OPERATOR_3D,CTO3
CELSIUS_TEMPERATURE_MEASURE_WITH_UNIT,CTMWU
CENTRE_OF_SYMMETRY,CNOFSY
CERTIFICATION,CRTFCT
CERTIFICATION_ASSIGNMENT,CRTASS
CERTIFICATION_TYPE,CRTTYP
CHAIN_BASED_GEOMETRIC_ITEM_SPECIFIC_USAGE,CBGISU
CHAIN_BASED_ITEM_IDENTIFIED_REPRESENTATION_USAGE,CBIIRU
CHAMFER,CHMFR
CHAMFER_OFFSET,CHMOFF
CHARACTER_GLYPH_STYLE_OUTLINE,CGO
CHARACTER_GLYPH_STYLE_STROKE,CGS
CHARACTERISTIC_DATA_COLUMN_HEADER,CDCH
CHARACTERISTIC_DATA_COLUMN_HEADER_LINK,CDCHL
CHARACTERISTIC_DATA_TABLE_HEADER,CDTH
CHARACTERISTIC_DATA_TABLE_HEADER_DECOMPOSITION,CDTHD
CHARACTERISTIC_TYPE,CHRTYP
CHARACTERIZED_CHAIN_BASED_ITEM_WITHIN_REPRESENTATION,CCBIWR
CHARACTERIZED_CLASS,CHRCLS
CHARACTERIZED_ITEM_WITHIN_REPRESENTATION,CIWR
CHARACTERIZED_OBJECT,CHROBJ
CHARACTERIZED_OBJECT_RELATIONSHIP,CHOBRL
CHARACTERIZED_PRODUCT_CONCEPT_FEATURE,CPCF
CHARACTERIZED_PRODUCT_CONCEPT_FEATURE_CATEGORY,CPCFC
CHARACTERIZED_REPRESENTATION,CHRRPR
CIRCLE,CIRCLE
CIRCULAR_CLOSED_PROFILE,CRCLPR
CIRCULAR_INVOLUTE,CRCINV
CIRCULAR_PATH,CRCPTH
CIRCULAR_PATTERN,CRCPTT
CIRCULAR_RUNOUT_TOLERANCE,CRRNTL
CLASS,CLASS
CLASS_BY_EXTENSION,CLBYEX
CLASS_BY_INTENSION,CLBYIN
CLASS_SYSTEM,CLS1
CLASS_USAGE_EFFECTIVITY_CONTEXT_ASSIGNMENT,CUECA
CLASSIFICATION_ASSIGNMENT,CLSASS
CLASSIFICATION_ASSIGNMENT_RELATIONSHIP,CLASRL
CLASSIFICATION_ROLE,CLSRL
CLOSED_PATH_PROFILE,CLPTPR
CLOSED_SHELL,CLSSHL
CLOTHOID,CLTHD
COAXIALITY_TOLERANCE,CXLTLR
COLOUR,COLOUR
COLOUR_RGB,CLRRGB
COLOUR_SPECIFICATION,CLRSPC
COMMON_DATUM,CMMDTM
COMPARISON_EQUAL,CMPEQL
COMPARISON_EXPRESSION,CMPEXP
COMPARISON_GREATER,CMPGRT
COMPARISON_GREATER_EQUAL,CMGREQ
COMPARISON_LESS,CMPLSS
COMPARISON_LESS_EQUAL,CMLSEQ
COMPARISON_NOT_EQUAL,CMNTEQ
COMPLEX_NUMBER_LITERAL,CMNMLT
COMPLEX_NUMBER_LITERAL_POLAR,CNLP
COMPLEX_TRIANGULATED_FACE,CMTRFC
COMPLEX_TRIANGULATED_SURFACE_SET,CTSS
COMPOSITE_CURVE,CMPCRV
COMPOSITE_CURVE_ON_SURFACE,CCOS
COMPOSITE_CURVE_SEGMENT,CMCRSG
COMPOSITE_GROUP_SHAPE_ASPECT,CGSA
COMPOSITE_HOLE,CMPHL
COMPOSITE_SHAPE_ASPECT,CMSHAS
COMPOSITE_TEXT,CMPTXT
COMPOSITE_TEXT_WITH_ASSOCIATED_CURVES,CTWAC
COMPOSITE_TEXT_WITH_BLANKING_BOX,CTWBB
COMPOSITE_TEXT_WITH_DELINEATION,CTWD
COMPOSITE_TEXT_WITH_EXTENT,CTWE
COMPOSITE_UNIT_SHAPE_ASPECT,CUSA
COMPOUND_FEATURE,CMPFTR
COMPOUND_REPRESENTATION_ITEM,CMRPIT
COMPOUND_SHAPE_REPRESENTATION,CMS0
CONCAT_EXPRESSION,CNCEXP
CONCENTRICITY_TOLERANCE,CNCTLR
CONCEPT_FEATURE_OPERATOR,CNFTOP
CONCEPT_FEATURE_RELATIONSHIP,CNFTRL
CONCEPT_FEATURE_RELATIONSHIP_WITH_CONDITION,CFRWC
CONCURRENT_ACTION_METHOD,CNACMT
CONDITIONAL_CONCEPT_FEATURE,CNCNFT
CONDUCTANCE_MEASURE_WITH_UNIT,CMW0
CONDUCTANCE_UNIT,CNDUNT
CONFIGURABLE_ITEM,CNF0
CONFIGURATION_DESIGN,CNFDSG
CONFIGURATION_EFFECTIVITY,CNFEFF
CONFIGURATION_ITEM,CNFITM
CONFIGURATION_ITEM_HIERARCHICAL_RELATIONSHIP,CIHR
CONFIGURATION_ITEM_RELATIONSHIP,CNITRL
CONFIGURATION_ITEM_REVISION_SEQUENCE,CIRS
CONFIGURED_EFFECTIVITY_ASSIGNMENT,CNE0
CONFIGURED_EFFECTIVITY_CONTEXT_ASSIGNMENT,CECA
CONIC,CONIC
CONICAL_SURFACE,CNCSRF
CONNECTED_EDGE_SET,CNEDST
CONNECTED_EDGE_SUB_SET,CESS
CONNECTED_FACE_SET,CNFCST
CONNECTED_FACE_SUB_SET,CFSS
CONNECTED_VOLUME_SET,CNVLST
CONNECTED_VOLUME_SUB_SET,CVSS
CONNECTION_ZONE_INTERFACE_PLANE_RELATIONSHIP,CZIPR
CONSTANT_FUNCTION,CNSFNC
CONSTITUENT_SHAPE_ASPECT,CNS1
CONSTRUCTIVE_GEOMETRY_REPRESENTATION,CNGMRP
CONSTRUCTIVE_GEOMETRY_REPRESENTATION_RELATIONSHIP,CGRR
CONTACT_RATIO_REPRESENTATION,CNRTRP
CONTACTING_FEATURE,CNTFTR
CONTEXT_DEPENDENT_INVISIBILITY,CNDPIN
CONTEXT_DEPENDENT_KINEMATIC_LINK_REPRESENTATION,CDKLR
CONTEXT_DEPENDENT_OVER_RIDING_STYLED_ITEM,CDORSI
CONTEXT_DEPENDENT_SHAPE_REPRESENTATION,CDSR
CONTEXT_DEPENDENT_UNIT,CNDPUN
CONTINUOUS_SHAPE_ASPECT,CNS0
CONTOURING_TURNING_OPERATION,CNTROP
CONTRACT,CNTRCT
CONTRACT_ASSIGNMENT,CNTASS
CONTRACT_RELATIONSHIP,CNTRLT
CONTRACT_TYPE,CNTTYP
CONVERSION_BASED_UNIT,CNBSUN
CONVEX_HEXAHEDRON,CNVHXH
COORDINATED_UNIVERSAL_TIME_OFFSET,CUTO
COORDINATES_LIST,CRDLST
COS_FUNCTION,CSFNC
COUNTERBORE_HOLE_DEFINITION,CNHLDF
COUNTERBORE_HOLE_OCCURRENCE,CNHLOC
COUNTERBORE_HOLE_OCCURRENCE_IN_ASSEMBLY,CHOIA
COUNTERDRILL_HOLE_DEFINITION,CNH2
COUNTERDRILL_HOLE_OCCURRENCE,CNH3
COUNTERDRILL_HOLE_OCCURRENCE_IN_ASSEMBLY,CHO1
COUNTERSINK_HOLE_DEFINITION,CNH0
COUNTERSINK_HOLE_OCCURRENCE,CNH1
COUNTERSINK_HOLE_OCCURRENCE_IN_ASSEMBLY,CHO0
CSG_SOLID,CSGSLD
CUBIC_BEZIER_TESSELLATED_EDGE,CBTE
CUBIC_BEZIER_TRIANGULATED_FACE,CBTF
CUBIC_TESSELLATED_CONNECTING_EDGE,CTCE
CURVE,CURVE
CURVE_BASED_PATH,CRBSPT
CURVE_BASED_PATH_WITH_ORIENTATION,CBPWO
CURVE_BASED_PATH_WITH_ORIENTATION_AND_PARAMETERS,CBPWOA
CURVE_BOUNDED_SURFACE,CRBNSR
CURVE_DIMENSION,CRVDMN
CURVE_REPLICA,CRVRPL
CURVE_STYLE,CRVSTY
CURVE_STYLE_FONT,CRSTFN
CURVE_STYLE_FONT_AND_SCALING,CSFAS
CURVE_STYLE_FONT_PATTERN,CSFP
CURVE_STYLE_RENDERING,CRSTRN
CURVE_SWEPT_SOLID_SHAPE_REPRESENTATION,CSSSR
CYCLIDE_SEGMENT_SOLID,CYSGSL
CYLINDRICAL_PAIR,CYLPR
CYLINDRICAL_PAIR_VALUE,CYPRVL
CYLINDRICAL_PAIR_WITH_RANGE,CPW0
CYLINDRICAL_POINT,CYLPNT
CYLINDRICAL_SHAPE_REPRESENTATION,CYSHRP
CYLINDRICAL_SURFACE,CYLSRF
CYLINDRICAL_VOLUME,CYLVLM
CYLINDRICITY_TOLERANCE,CYLTLR
DATA_ENVIRONMENT,DTENV
DATE,DATE
DATE_AND_TIME,DTANTM
DATE_AND_TIME_ASSIGNMENT,DATA
DATE_ASSIGNMENT,DTASS
DATE_REPRESENTATION_ITEM,DTRPIT
DATE_ROLE,DTRL
DATE_TIME_REPRESENTATION_ITEM,DTRI
DATE_TIME_ROLE,DTTMRL
DATED_EFFECTIVITY,DTDEFF
DATUM,DATUM
DATUM_FEATURE,DTMFTR
DATUM_FEATURE_CALLOUT,DTFTCL
DATUM_REFERENCE,DTMRFR
DATUM_REFERENCE_COMPARTMENT,DTRFCM
DATUM_REFERENCE_ELEMENT,DTRFEL
DATUM_REFERENCE_MODIFIER_WITH_VALUE,DRMWV
DATUM_SYSTEM,DTMSYS
DATUM_TARGET,DTMTRG
DATUM_TARGET_CALLOUT,DTTRCL
DEFAULT_MODEL_GEOMETRIC_VIEW,DMGV
DEFAULT_TOLERANCE_TABLE,DFTLTB
DEFAULT_TOLERANCE_TABLE_CELL,DTTC
DEFINED_CHARACTER_GLYPH,DFCHGL
DEFINED_FUNCTION,DFNFNC
DEFINED_SYMBOL,DFNSYM
DEFINITE_INTEGRAL_EXPRESSION,DFINEX
DEFINITE_INTEGRAL_FUNCTION,DFINFN
DEFINITIONAL_PRODUCT_DEFINITION_USAGE,DPDU
DEFINITIONAL_REPRESENTATION,DFNRPR
DEFINITIONAL_REPRESENTATION_RELATIONSHIP,DFRPRL
DEFINITIONAL_REPRESENTATION_RELATIONSHIP_WITH_SAME_CONTEXT,DRRWSC
DEGENERATE_PCURVE,DGNPCR
DEGENERATE_TOROIDAL_SURFACE,DGTRSR
DEPENDENT_VARIABLE_DEFINITION,DPVRDF
DERIVED_SHAPE_ASPECT,DRSHAS
DERIVED_UNIT,DRVUNT
DERIVED_UNIT_ELEMENT,DRUNEL
DESCRIPTION_ATTRIBUTE,DSCATT
DESCRIPTIVE_REPRESENTATION_ITEM,DSRPIT
DIAMETER_DIMENSION,DMTDMN
DIELECTRIC_CONSTANT_MEASURE_WITH_UNIT,DCMWU
DIMENSION_CALLOUT,DMNCLL
DIMENSION_CALLOUT_COMPONENT_RELATIONSHIP,DCCR
DIMENSION_CALLOUT_RELATIONSHIP,DMCLRL
DIMENSION_CURVE,DMNCRV
DIMENSION_CURVE_DIRECTED_CALLOUT,DCDC
DIMENSION_CURVE_TERMINATOR,DMCRTR
DIMENSION_CURVE_TERMINATOR_TO_PROJECTION_CURVE_ASSOCIATIVITY,DCTTPC
DIMENSION_PAIR,DMNPR
DIMENSION_RELATED_TOLERANCE_ZONE_ELEMENT,DRTZE
DIMENSION_TEXT_ASSOCIATIVITY,DMTXAS
DIMENSIONAL_CHARACTERISTIC_REPRESENTATION,DMCHRP
DIMENSIONAL_EXPONENTS,DMNEXP
DIMENSIONAL_LOCATION,DMNLCT
DIMENSIONAL_LOCATION_WITH_DATUM_FEATURE,DLWDF
DIMENSIONAL_LOCATION_WITH_PATH,DLWP
DIMENSIONAL_SIZE,DMNSZ
DIMENSIONAL_SIZE_WITH_DATUM_FEATURE,DSWDF
DIMENSIONAL_SIZE_WITH_PATH,DSWP
DIRECTED_ACTION,DRCACT
DIRECTED_ACTION_ASSIGNMENT,DRACAS
DIRECTED_DIMENSIONAL_LOCATION,DRDMLC
DIRECTED_TOLERANCE_ZONE,DRTLZN
DIRECTION,DRCTN
DIRECTION_SHAPE_REPRESENTATION,DRSHRP
DIV_EXPRESSION,DVEXP
DOCUMENT,DCMNT
DOCUMENT_FILE,DCMFL
DOCUMENT_IDENTIFIER,DCMIDN
DOCUMENT_IDENTIFIER_ASSIGNMENT,DCIDAS
DOCUMENT_PRODUCT_ASSOCIATION,DCP1
DOCUMENT_PRODUCT_EQUIVALENCE,DCPREQ
DOCUMENT_REFERENCE,DCMRFR
DOCUMENT_RELATIONSHIP,DCMRLT
DOCUMENT_REPRESENTATION_TYPE,DCRPTY
DOCUMENT_TYPE,DCMTYP
DOCUMENT_USAGE_CONSTRAINT,DCUSCN
DOCUMENT_USAGE_CONSTRAINT_ASSIGNMENT,DUCA
DOCUMENT_USAGE_ROLE,DCUSRL
DOSE_EQUIVALENT_MEASURE_WITH_UNIT,DEMWU
DOSE_EQUIVALENT_UNIT,DSEQUN
DRAUGHTING_ANNOTATION_OCCURRENCE,DRANOC
DRAUGHTING_CALLOUT,DRGCLL
DRAUGHTING_CALLOUT_RELATIONSHIP,DRCLRL
DRAUGHTING_ELEMENTS,DRGELM
DRAUGHTING_MODEL,DRGMDL
DRAUGHTING_MODEL_ITEM_ASSOCIATION,DMIA
DRAUGHTING_MODEL_ITEM_ASSOCIATION_WITH_PLACEHOLDER,DMIAWP
DRAUGHTING_PRE_DEFINED_COLOUR,DPDC
DRAUGHTING_PRE_DEFINED_CURVE_FONT,DPDCF
DRAUGHTING_PRE_DEFINED_TEXT_FONT,DPDTF
DRAUGHTING_SUBFIGURE_REPRESENTATION,DRSBRP
DRAUGHTING_SYMBOL_REPRESENTATION,DRSYRP
DRAUGHTING_TEXT_LITERAL_WITH_DELINEATION,DTLWD
DRILLING_OPERATION,DRLOPR
DRILLING_TYPE_OPERATION,DRTYOP
DRILLING_TYPE_STRATEGY,DRTYST
DUPIN_CYCLIDE_SURFACE,DPCYSR
ECCENTRIC_CONE,ECCCN
ECCENTRIC_CONICAL_VOLUME,ECCNVL
EDGE,EDGE
EDGE_BASED_WIREFRAME_MODEL,EBWM
EDGE_BASED_WIREFRAME_SHAPE_REPRESENTATION,EBWSR
EDGE_CURVE,EDGCRV
EDGE_LOOP,EDGLP
EDGE_ROUND,EDGRND
EFFECTIVITY,EFFCTV
EFFECTIVITY_ASSIGNMENT,EFFASS
EFFECTIVITY_CONTEXT_ASSIGNMENT,EFC0
EFFECTIVITY_CONTEXT_ROLE,EFCNRL
EFFECTIVITY_RELATIONSHIP,EFFRLT
ELECTRIC_CHARGE_MEASURE_WITH_UNIT,ECM0
ELECTRIC_CHARGE_UNIT,ELCHUN
ELECTRIC_CURRENT_MEASURE_WITH_UNIT,ECMWU
ELECTRIC_CURRENT_UNIT,ELCRUN
ELECTRIC_POTENTIAL_MEASURE_WITH_UNIT,EPMWU
ELECTRIC_POTENTIAL_UNIT,ELPTUN
ELEMENTARY_BREP_SHAPE_REPRESENTATION,EBSR
ELEMENTARY_FUNCTION,ELMFNC
ELEMENTARY_SPACE,ELMSPC
ELEMENTARY_SURFACE,ELMSRF
ELLIPSE,ELLPS
ELLIPSOID,ELLPSD
ELLIPSOID_VOLUME,ELLVLM
ENERGY_MEASURE_WITH_UNIT,EMWU
ENERGY_UNIT,ENRUNT
ENVIRONMENT,ENVRNM
EQUALS_EXPRESSION,EQLEXP
EVALUATED_DEGENERATE_PCURVE,EVDGPC
EVENT_OCCURRENCE,EVNOCC
EVENT_OCCURRENCE_ASSIGNMENT,EVOCAS
EVENT_OCCURRENCE_RELATIONSHIP,EVO0
EVENT_OCCURRENCE_ROLE,EVOCRL
EXCLUSIVE_PRODUCT_CONCEPT_FEATURE_CATEGORY,EPCFC
EXECUTED_ACTION,EXCACT
EXP_FUNCTION,EXPFNC
EXPANDED_UNCERTAINTY,EXPUNC
EXPLICIT_COMPOSITE_HOLE,EXCMHL
EXPLICIT_ROUND_HOLE,EXRNHL
EXPLICIT_TABLE_FUNCTION,EXTBFN
EXPRESSION,EXPRSS
EXPRESSION_CONVERSION_BASED_UNIT,ECBU
EXPRESSION_DENOTED_FUNCTION,EXDNFN
EXPRESSION_ITEM_REPRESENTATION_ITEM,EIRI
EXPRESSION_REPRESENTATION_ITEM,EXRPIT
EXTENDED_TUPLE_SPACE,EXTPSP
EXTENDED_TYPE_OPERATION,EXTYOP
EXTENSION,EXTNSN
EXTERNAL_CLASS_LIBRARY,EXCLLB
EXTERNAL_IDENTIFICATION_ASSIGNMENT,EXIDAS
EXTERNAL_IDENTIFICATION_ASSIGNMENT_RELATIONSHIP,EIAR
EXTERNAL_SOURCE,EXTSRC
EXTERNAL_SOURCE_RELATIONSHIP,EXSRRL
EXTERNALLY_DEFINED_CHARACTER_GLYPH,EDCG
EXTERNALLY_DEFINED_CLASS,EXD0
EXTERNALLY_DEFINED_COLOUR,EXD1
EXTERNALLY_DEFINED_CURVE_FONT,EDCF
EXTERNALLY_DEFINED_DIMENSION_DEFINITION,EDDD
EXTERNALLY_DEFINED_FEATURE_DEFINITION,EDFD
EXTERNALLY_DEFINED_GENERAL_PROPERTY,EDGP
EXTERNALLY_DEFINED_HATCH_STYLE,EDHS
EXTERNALLY_DEFINED_ITEM,EXDFIT
EXTERNALLY_DEFINED_ITEM_RELATIONSHIP,EDIR
EXTERNALLY_DEFINED_ITEM_WITH_MULTIPLE_REFERENCES,EDIWMR
EXTERNALLY_DEFINED_MARKER,EXDFMR
EXTERNALLY_DEFINED_REPRESENTATION,EXDFRP
EXTERNALLY_DEFINED_REPRESENTATION_ITEM,EDRI
EXTERNALLY_DEFINED_REPRESENTATION_WITH_PARAMETERS,EDRWP
EXTERNALLY_DEFINED_STRING,EXD2
EXTERNALLY_DEFINED_STYLE,EXDFST
EXTERNALLY_DEFINED_SYMBOL,EXDFSY
EXTERNALLY_DEFINED_TERMINATOR_SYMBOL,EDT0
EXTERNALLY_DEFINED_TEXT_FONT,EDTF
EXTERNALLY_DEFINED_TILE,EXDFTL
EXTERNALLY_DEFINED_TILE_STYLE,EDTS
EXTERNALLY_LISTED_DATA,EXLSDT
EXTRUDED_AREA_SOLID,EXARSL
EXTRUDED_FACE_SOLID,EXFCSL
FACE,FACE
FACE_BASED_SURFACE_MODEL,FBSM
FACE_BOUND,FCBND
FACE_OUTER_BOUND,FCOTBN
FACE_SHAPE_REPRESENTATION,FCSHRP
